#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#text1.csv replacements
ALLOW_REVOKATION_ON;Revocation of titles Allowed\n;Annulation des titres autorisée;Entzug gewährter Titel gestattet;;Revocación de títulos permitida;;;;;;;;;x
EVTDESC_SOA_3035;Aaack! I wake to an excruciating PAIN in my eye! The [Root.Religion.GetRandomEvilGodNameCap] child, [From.GetFirstName], is sitting on my chest, poking me in the ... blszzpt...;ARRGH ! Je me réveille avec une douleur insoutenable à l'œil ! J'entrevois [From.GetFirstName] et son sourire démoniaque, à cheval sur ma poitrine, qui m'enfonce une aiguille dans......;Ah! Ich erwache mit einem unerträglichen SCHMERZ in meinem Auge! Dieses teuflische Kind, [From.GetFirstName], sitzt auf meiner Brust und sticht mich in die... blszzpt...;;¡Aaaah! ¡Me despierto con un DOLOR insoportable en el ojo! El hijo del [Root.Religion.GetRandomEvilGodName]io, [From.GetFirstName], está sentado en mi pecho, clavándome en el... blszzpt...;;;;;;;;;x
EVTOPTA_SOA_3035;[Root.Religion.GetRandomEvilGodNameCap] shall not have my soul!;[Root.Religion.GetRandomEvilGodNameCap] n'aura jamais mon âme !;Niemals wird [Root.Religion.GetRandomEvilGodNameCap] meine Seele besitzen!;;¡[Root.Religion.GetRandomEvilGodNameCap] no tendrá mi alma!;;;;;;;;;x
EVTDESC_SOA_3036;I wake up with a start. There is a pressure on my chest! As I scream for help, a small shape scampers off, hissing loudly, hurling a long needle at me!;Je me réveille en sursaut. Je ressens une pression sur ma poitrine. Je hurle à l'aide et une petite silhouette s'enfuit, émet un sifflement bruyant et lance une longue aiguille dans ma direction !;Ich erwache voller Schrecken. Auf meiner Brust spüre ich einen schmerzhaften Druck. Ich rufe um Hilfe, doch da huscht eine schemenhafte Gestalt zur Seite, zischend, mit einer langen Nadel bewaffnet, die auf mich gerichtet ist!;;Me despierto sobresaltado. ¡Siento una presión en el pecho! ¡Al pedir auxilio, una pequeña silueta se escabulle, silbando con fuerza y lanzándome una larga aguja!;;;;;;;;;x
EVTOPTA_SOA_3036;The [Root.Religion.GetRandomEvilGodName] spawn, [From.GetFirstName], I know it!;C'est [From.GetFirstName], l'enfant du démon, je le savais !;Diese Dämonenbrut, [From.GetFirstName], ich habe es gleich gewusst!;;¡La semilla del [Root.Religion.GetRandomEvilGodName]io, [From.GetFirstName], lo sabía!;;;;;;;;;x
EVTDESC_SOA_3037;Aaack! I wake to an excruciating PAIN in my eye! As I scream for help, a small shape scampers off, hissing loudly, hurling a long needle at me!;ARRGH ! Je me réveille avec une douleur insoutenable à l'œil ! Je hurle à l'aide et une petite silhouette s'enfuit, émet un sifflement bruyant et lance une longue aiguille dans ma direction !;Ah! Ich erwache mit einem unerträglichen SCHMERZ in meinem Auge! Ich rufe um Hilfe, doch da huscht eine schemenhafte Gestalt zur Seite, zischend, mit einer langen Nadel bewaffnet, die auf mich gerichtet ist!;;¡Aaaah! ¡Me despierto con un DOLOR insoportable en el ojo! ¡Al pedir auxilio, una pequeña silueta se escabulle, silbando con fuerza y lanzándome una larga aguja!;;;;;;;;;x
EVTOPTA_SOA_3037;My eye! I... why can't I think straight?;Mon œil ! Je... Mais que m'arrive-t-il ?;Mein Auge! Ich... was ist mit mir...? So neblig, die Welt...;;¡El ojo! Yo... ¿Por qué no puedo pensar con claridad?;;;;;;;;;x
EVTTITLE_SOA_3039;Lethal Nightmares;Cauchemars fatals;Tödliche Träume;;Pesadillas letales;;;;;;;;;x
EVTDESC_SOA_3039;My beloved [GetFromRelation] [From.GetFirstName] is dead! [From.GetSubjectPronounCap] was found lifeless in [From.GetPossPronoun] bed, face frozen in a terrible grimace, with a trickle of blood running down [From.GetPossPronoun] cheek. The physicians can find nothing wrong with the body. It's as if [From.GetSubjectPronoun] had died of fright from a terrible nightmare. There are dark rumours about the so called '[Root.Religion.GetRandomEvilGodName] child', my [GetFromFromRelation] [FromFrom.GetFirstName], again... As always when something terrible happens, [FromFrom.GetSubjectPronoun] does seem inordinately happy.;Mon/ma [GetFromRelation] [From.GetFirstName] que j'aime tant vient de mourir ! On l'a trouvé sans vie dans son lit, le visage figé en une terrible grimace, un filet de sang coulant le long de sa joue. Les médecins ne trouvent pas la cause de la mort. On dirait qu'[From.GetSubjectPronoun] est mort(e) de peur en faisant un terrible cauchemar. Et les rumeurs vont bon train au sujet de la nature démoniaque de [FromFrom.GetFirstName]... Comme toujours, quand un évènement horrible survient, [FromFrom.GetSubjectPronoun] semble se réjouir.;Mein(e) liebe(r) [GetFromRelation] [From.GetFirstName] ist tot! [From.GetSubjectPronounCap] wurde leblos in [From.GetPossPronoun] Bett gefunden, das Gesicht zu einer schrecklichen Fratze gefroren, mit einem dünnen Rinnsal Blut, das von [From.GetPossPronoun] Wange herabtropfte. Ein körperliches Problem konnten die Ärzte nicht feststellen. Es ist, als wenn [From.GetSubjectPronoun] vor Schreck gestorben wäre. Die dunklen Gerüchte über das angebliche Dämonenkind, mein(e) [GetFromFromRelation] [FromFrom.GetFirstName], erhalten neue Nahrung... Wie immer, wenn etwas Unnatürliches passiert, scheint [FromFrom.GetSubjectPronoun] ausgesprochen glücklich zu sein.;;¡Mi amado [GetFromRelation] [From.GetFirstName] ha muerto! [From.GetSubjectPronounCap] ha sido hallado sin vida en [From.GetPossPronoun] cama. En su rostro había una expresión terrible y un hilo de sangre recorría [From.GetPossPronoun] mejilla. Los médicos no han hallado nada malo en su cuerpo. Es como si hubiera muerto de miedo por una terrible pesadilla. De nuevo, rumores oscuros hablan del llamado niño [Root.Religion.GetRandomEvilGodName]io, mi [GetFromFromRelation] [FromFrom.GetFirstName]... Como siempre que sucede algo terrible, [FromFrom.GetSubjectPronoun] parece excesivamente feliz.;;;;;;;;;x
EVTOPTA_SOA_3039;Could it really be murder?;Serait-ce un meurtre ?;Könnte es wirklich Mord gewesen sein?;;¿Es posible que haya sido asesinado?;;;;;;;;;x
EVTTITLE_SOA_3040;Lethal Nightmares;Cauchemars fatals;Tödliche Träume;;Pesadillas letales;;;;;;;;;x
EVTDESC_SOA_3040;My beloved [GetFromRelation] [From.GetFirstName] claims that some... thing tried to kill [From.GetObjectPronoun] last night. [From.GetSubjectPronounCap] woke up with a small shape pressing down on [From.GetPossPronoun] chest. It ran off hissing, but left a nasty long needle behind. I think it was just a nightmare - the maids leave needles lying around everywhere. However, there are dark rumours about the so called '[Root.Religion.GetRandomEvilGodName] child', my [GetFromFromRelation] [FromFrom.GetFirstName], again...;Mon/ma [GetFromRelation] [From.GetFirstName] soutient que... quelque chose a cherché à l'occire la nuit dernière. [From.GetSubjectPronounCap] a ouvert les yeux et a vu une petite forme qui appuyait sur sa poitrine. La forme est ensuite partie en sifflant, laissant derrière elle une longue aiguille acérée. Je pense que ce n'était qu'un cauchemar, les bonnes laissent traîner des aiguilles partout. Mais le bruit court au sujet d'un soi-disant ''enfant démon'', mon/ma [GetFromFromRelation] [FromFrom.GetFirstName], encore cet enfant...;Mein(e) [GetFromRelation] [From.GetFirstName] behauptet, dass letzte Nacht irgend...etwas versuchte, [From.GetObjectPronoun] zu töten. [From.GetSubjectPronounCap] erwachte mit dem Gefühl eines unangenehmen Drucks auf [From.GetPossPronoun]er Brust. Zischend rannte daraufhin ein schemenhaftes Wesen davon, ließ jedoch eine lange Nadel zurück. Sicher war es nur ein Albtraum. Die Zofen lassen schließlich überall Nadeln herumliegen. Dennoch, die dunklen Gerüchte über das angebliche Dämonenkind, mein(e) [GetFromFromRelation] [FromFrom.GetFirstName], erhalten neue Nahrung...;;Mi amado [GetFromRelation] [From.GetFirstName] afirma que alguien... o algo trató de acabar con [From.GetObjectPronoun] vida anoche. [From.GetSubjectPronounCap] despertó con una pequeña figura presionando [From.GetPossPronoun] pecho. Salió corriendo mientras silbaba, pero olvidó una aguja larga y peligrosa. Creo que sólo fue una pesadilla. Las doncellas dejan agujas por todas partes. Sin embargo, de nuevo hay rumores oscuros que hablan del llamado niño [Root.Religion.GetRandomEvilGodName]io, mi [GetFromFromRelation] [FromFrom.GetFirstName]...;;;;;;;;;x
EVTOPTA_SOA_3040;I am surrounded by nonsense;Tout ceci n'a aucun sens;Ich bin umgeben von Hirngespinsten;;Es absurdo.;;;;;;;;;x
EVTTITLE_SOA_3041;Lethal Nightmares;Cauchemars fatals;Tödliche Träume;;Pesadillas letales;;;;;;;;;x
EVTDESC_SOA_3041;My dear [GetFromRelation] [From.GetFirstName] must have suffered a stroke in [From.GetPossPronoun] sleep last night. [From.GetSubjectPronounCap] was found drooling in bed, one eye bloodshot, mumbling about a small monster that stabbed [From.GetObjectPronoun] in the eye before it ran off. There are dark rumours about the so called '[Root.Religion.GetRandomEvilGodName] child', my [GetFromFromRelation] [FromFrom.GetFirstName], again... As always when something terrible happens, [FromFrom.GetSubjectPronoun] does seem inordinately happy.;Mon/ma [GetFromRelation] [From.GetFirstName] a certainement eu une attaque dans son sommeil la nuit dernière. [From.GetSubjectPronounCap] bavait sur son lit, un œil injecté de sang, et balbutiait qu'un petit monstre avait réussi à piquer son œil avant de prendre la fuite. Le bruit court au sujet d'un soi-disant ''enfant démon'', mon/ma [GetFromFromRelation] [FromFrom.GetFirstName], encore cet enfant... Comme toujours, dès que quelque chose d'horrible se produit, [FromFrom.GetSubjectPronoun] semble en tirer un grand plaisir.;Mein(e) [GetFromRelation] [From.GetFirstName] muss in [From.GetPossPronoun] Bett der Schlag getroffen haben. Heute Morgen murmelte [From.GetSubjectPronounCap], ein Auge blutunterlaufen, etwas von einem kleinen Monster, das [From.GetObjectPronoun] ins Auge gestochen habe, bevor es davonlief. Die Gerüchte über das sogenannte Dämonenkind, mein(e) [GetFromFromRelation] [FromFrom.GetFirstName], flackern wieder auf... Wie immer, wenn etwas Unnatürliches passiert, scheint [FromFrom.GetSubjectPronoun] sehr glücklich zu sein.;;Mi querido [GetFromRelation] [From.GetFirstName] ha debido de sufrir un derrame cerebral mientras dormía. [From.GetSubjectPronounCap] fue hallado babeando en la cama, con un ojo inyectado en sangre, mascullando algo de un pequeño monstruo que [From.GetObjectPronoun] punzaba el ojo antes de escapar. De nuevo, rumores oscuros hablan del llamado niño [Root.Religion.GetRandomEvilGodName]io, mi [GetFromFromRelation] [FromFrom.GetFirstName]... Como siempre que sucede algo terrible, [FromFrom.GetSubjectPronoun] parece excesivamente feliz.;;;;;;;;;x
EVTOPTA_SOA_3041;I can't believe it...;Je ne puis y croire...;Ich kann es nicht glauben...;;No puedo creerlo...;;;;;;;;;x
EVTDESC_SOA_3050;By the grace of [Root.Religion.GetRandomEvilGodName], my limb has grown back!;Gloire à [Root.Religion.GetRandomEvilGodName], mon membre a repoussé !;[Root.Religion.GetRandomEvilGodName] war mir gnädig! Mein Körper ist wieder unversehrt!;;¡Por la gracia de [Root.Religion.GetRandomEvilGodName], me ha vuelto a salir el miembro!;;;;;;;;;x
EVTOPTA_SOA_3050;Ave [Root.Religion.GetRandomEvilGodName]!;Ave [Root.Religion.GetRandomEvilGodName] !;Ave [Root.Religion.GetRandomEvilGodName]!;;¡Ave [Root.Religion.GetRandomEvilGodName]!;;;;;;;;;x
EVTDESC_SOA_3051;My eyesight has been restored by the power of [Root.Religion.GetRandomEvilGodName]!;Les pouvoirs de [Root.Religion.GetRandomEvilGodName] m'ont redonné la vue !;[Root.Religion.GetRandomEvilGodName] segnete mich und hat mir das Augenlicht wiedergeschenkt!;;¡He recuperado la vista por el poder de [Root.Religion.GetRandomEvilGodName]!;;;;;;;;;x
EVTOPTA_SOA_3051;Sanguinem Bibimus!;Sanguinem Bibimus !;Sanguinem Bibimus!;;¡Sanguinem Bibimus!;;;;;;;;;x
EVTDESC_SOA_3052;The seed of [Root.Religion.GetRandomEvilGodName] will not be denied. My manhood is restored!;La semence de [Root.Religion.GetRandomEvilGodName] se propagera ! Ma vigueur m'a été rendue !;Gepriesen sei [Root.Religion.GetRandomEvilGodName]! Meine Männlichkeit ist wiederhergestellt!;;No se negará la semilla de [Root.Religion.GetRandomEvilGodName]. ¡He recuperado mi hombría!;;;;;;;;;x
EVTOPTA_SOA_3052;Elevate corpus [Root.Religion.GetRandomEvilGodName]!;Elevate corpus [Root.Religion.GetRandomEvilGodName]e !;Elevate corpus [Root.Religion.GetRandomEvilGodName]e!;;¡Elevate corpus [Root.Religion.GetRandomEvilGodName]e!;;;;;;;;;x
EVTDESC_SOA_3053;The dark animus of [Root.Religion.GetRandomEvilGodName] courses through my veins. My mind is clear once more!;L'esprit ténébreux de [Root.Religion.GetRandomEvilGodName] coule dans mes veines ! Mon esprit est à nouveau clair !;[Root.Religion.GetRandomEvilGodName], deine Kraft durchströmt meine Adern, aufs Neue klar mein Verstand!;;El alma oscura de [Root.Religion.GetRandomEvilGodName] corre por mis venas. ¡Ahora lo entiendo!;;;;;;;;;x
EVTOPTA_SOA_3053;Corpus edimus!;Corpus edimus !;Corpus edimus!;;¡Corpus edimus!;;;;;;;;;x
EVTDESC_SOA_3054;[Root.Religion.GetRandomEvilGodNameCap] gifted me with this disease to strengthen my resolve... Now, my will is like a sharpened blade and I wish this blight gone from my body!;[Root.Religion.GetRandomEvilGodNameCap] m'a infligé cette maladie pour me mettre à l'épreuve... Aujourd'hui, ma volonté est comme une lame acérée et j'exige que ce mal quitte mon corps !;[Root.Religion.GetRandomEvilGodNameCap] segnete mich mit dieser Krankheit, um meine Entschlossenheit zu stärken... Mein Wille wird das Messer sein, mit dem ich meinen Leib von seiner Fäulnis befreie!;;[Root.Religion.GetRandomEvilGodNameCap] me obsequió con esta enfermedad para reforzar mi propósito… ¡Ahora, mi voluntad es como una cuchilla afilada y quiero que esta maldición salga de mi cuerpo!;;;;;;;;;x
EVTOPTA_SOA_3054;Ave [Root.Religion.GetRandomEvilGodName]!;Ave [Root.Religion.GetRandomEvilGodName]!;Ave [Root.Religion.GetRandomEvilGodName]!;;¡Ave [Root.Religion.GetRandomEvilGodName]!;;;;;;;;;x
EVTDESC_SOA_3060;No bars can hold [Root.Religion.GetRandomEvilGodName]'s own! The senses of my gaolers were blinded long enough for me to escape.;Rien ne peut emprisonner ce qui appartient à [Root.Religion.GetRandomEvilGodName] ! Les sens de mes geôliers ont été perturbés, le temps pour moi de prendre la fuite.;Kein Gitter vermag einen Jünger von [Root.Religion.GetRandomEvilGodName] aufzuhalten! Von Blindheit geschlagen, erlaubten die Wärter mir zu entkommen.;;¡No hay cárcel capaz de retener a [Root.Religion.GetRandomEvilGodName]! El juicio de mis carceleros estaba lo suficientemente nublado para poder escapar.;;;;;;;;;x
EVTOPTA_SOA_3060;Hail [Root.Religion.GetRandomEvilGodName]!;Gloire à [Root.Religion.GetRandomEvilGodName] !;Lob sei [Root.Religion.GetRandomEvilGodName]!;;¡Alabad a [Root.Religion.GetRandomEvilGodName]!;;;;;;;;;x
EVTDESC_SOA_3061;My prisoner, the depraved [From.GetTitledName], who is rumored to be the spawn of [From.Religion.GetRandomEvilGodName], has somehow escaped my dungeons! The guards have no explanation - the cell was still locked, but empty.;[From.GetTitledName], ce rebut de la société que l'on dit être un enfant de [From.Religion.GetRandomEvilGodName], a pu s'échapper de mon cachot ! Les gardes ne peuvent pas expliquer ce qui s'est passé. La cellule était encore verrouillée, mais à l'intérieur, personne !;Meinem Gefangenen, dem verderbten [From.GetTitledName], den man für einen Bastard von [From.Religion.GetRandomEvilGodName] hält, ist die Flucht aus meinem Kerker geglückt! Die Wärter haben keine Erklärung. Das Schloss war unversehrt, die Zelle jedoch leer...;;¡Mi prisionero, el depravado [From.GetTitledName], del que se rumorea que es la semilla de [From.Religion.GetRandomEvilGodName], ha logrado escapar de las mazmorras! Los guardias no se lo explican, la celda seguía cerrada, aunque vacía.;;;;;;;;;x
EVTOPTA_SOA_3061;These are dark tidings...;Ça ne sent pas bon...;Das sind schlimme Nachrichten...;;Malas noticias…;;;;;;;;;x
EVTDESC_SOA_3065;A well equipped army of cultists, followers of [Root.Religion.GetRandomEvilGodName], has arrived in [Root.Location.GetName] led by three powerful breton witches. They stand ready to serve me and our dread prince in this important war.;Une armée bien équipée de disciples de [Root.Religion.GetRandomEvilGodName] est arrivée en [Root.Location.GetName], menée par trois puissantes sorcières. Ils sont prêts à servir leur maître absolu et moi-même dans cette guerre sanglante.;Ein gut ausgerüstete Armee von Kultisten, die sich zu [Root.Religion.GetRandomEvilGodName] bekennen, ist unter der Führung dreier Hexen in [Root.Location.GetName] angekommen. Sie stehen bereit, mir und unserem gefürchteten Meister in diesem wichtigen Krieg zu dienen.;;Un ejército bien equipado de sectarios, seguidores de [Root.Religion.GetRandomEvilGodName], ha llegado a [Root.Location.GetName] con tres poderosas brujas a la cabeza. Están listos para servirnos a mí y a nuestro temido maestro en esta importante guerra.;;;;;;;;;x
