#EVENTS;;;;;;;;;;;;;;x
VIETmisc.8000.desc;Last night [Root.GetSheHeOpp] appeared in my dream, and we laughed and danced and talked about nothing in particular. My heart was beating so fast, for I was so nervous yet excited that even when I woke up I could still feel it. It has been so long, so many years since we last met, yet even now I still think about [Root.GetHerHimOpp].;Hier soir, [Root.GetSheHeOpp] est apparu dans mon rêve, nous avons ri, dansé et parlé de rien en particulier. Mon cœur battait si vite, j'étais si nerveux et excité que même quand je me réveillais, je pouvais encore le sentir. Cela fait si longtemps, que de nombreuses années se sont écoulées depuis notre dernière rencontre, et pourtant, je pense toujours à [Root.GetHerHimOpp].;;;;;;;;;;x;x
VIETmisc.8240.c;I will take the lead in making their dreams become reality.;Je prendrai les devants pour que leurs rêves deviennent réalité.;;;;;;;;;;;;x
VIETmisc.8241.desc;I recently provided protection to a small group of Chinese envoys and travelers in my territory. During their journey, they were attacked by ruthless bandits, but my brave men held them off. In gratitude, one my Chinese guests offered a colorful statue of Guan Yu that is an old family heirloom. Guan Yu was an ancient Chinese general who had been deified as a God of War.;J'ai récemment fourni une protection à un petit groupe d'envoyés et de voyageurs chinois sur mon territoire. Pendant leur voyage, ils ont été attaqués par des bandits impitoyables, mais mes braves hommes les ont retenus. En guise de gratitude, un de mes invités chinois m'a offert une statue colorée de Guan Yu, un ancien héritage de famille. Guan Yu était un ancien général chinois qui avait été déifié en Dieu de la Guerre.;;;;;;;;;;x;x
VIETmisc.8241.a;This demonic statue cannot stay with me!;Cette statue démoniaque ne peut pas rester avec moi !;;;;;;;;;;;;x
VIETmisc.8241.b;Thank them but politely reject their offer.;Remerciez-les mais refusez poliment leur offre.;;;;;;;;;;;;x
VIETmisc.8241.c;Put the statue somewhere suitable in my home.;Placez la statue de façon convenable dans ma maison.;;;;;;;;;;;;x
VIETmisc.8242.desc;A Chinese traveler and poet, who lives in the nearby wilderness, visits my court today, and recites some poetry he recently made. It is stylistically inspired by the poetry of the Three Caos - the great warlord and ruler Cao Cao, and his sons Cao Pi and Cao Zhi - who were influential poets in their day. After he performs it for you, he asks what you think.;Un voyageur et poète chinois, qui vit dans la nature sauvage environnante, est arrivé à ma cour aujourd'hui et récite de la poésie qu'il a récemment composée. Il est stylistiquement inspiré par la poésie des Trois Caos - le grand seigneur de guerre et souverain Cao Cao, et ses fils Cao Pi et Cao Zhi - qui étaient des poètes influents de leur temps. Après l'avoir récité pour vous, il vous demande ce que vous pensez.;;;;;;;;;;x;x
VIETmisc.8242.a;That was bad.;C'était mauvais.;;;;;;;;;;;;x
VIETmisc.8242.b;Very good!;Très bien !;;;;;;;;;;;;x
VIETmisc.8242.c;I like it so much, I'll offer him a place at my court.;J'aime tellement ça, je vais lui offrir une place à ma cour.;;;;;;;;;;;;x
VIETmisc.8243.desc;You meet a wanderer from a land far away, who recently traveled to the far east. He asks you to regale him with interesting stories from his travels, and in the middle of his account, he tells of a popular Chinese saying he heard: "Brothers are like limbs, wives and children are like clothing. Torn clothing can be repaired, but how can broken limbs be mended?";Vous rencontrez un vagabond d'une terre lointaine, qui s'est récemment rendu dans l'extrême orient. Il vous demande de vous régaler d'histoires intéressantes de ses voyages. Au milieu de son récit, il raconte un dicton populaire chinois qui aurait été : "Les frères sont comme les membres, les femmes et les enfants sont comme des vêtements. Les vêtements déchirés peuvent être réparés, mais comment réparer les membres cassés ?";;;;;;;;;;x;x
VIETmisc.8243.a;Siblings are more important than wives or children.;Les frères et sœurs sont plus importants que les épouses ou les enfants.;;;;;;;;;;;;x
VIETmisc.8243.b;How terrible! Our children are our future!;Comme c'est terrible ! Nos enfants sont notre avenir !;;;;;;;;;;;;x
VIETmisc.8243.c;Disagreed. Wives are important, we should respect them.;Pas d'accord. Les femmes sont importantes, nous devrions les respecter.;;;;;;;;;;;;x
VIETmisc.8244.desc;Lately, I have been reading about the heroes and villains of the Three Kingdoms, that era of disunity and conflict in China when the Han Dynasty collapsed into civil war. For centuries, people have told many stories, some more fantastical than others, about the deeds and exploits of this fascinating cast of characters. I in particular have an admiration for the...;Dernièrement, j'ai lu des articles sur les héros et les méchants des Trois Royaumes, cette période de désunion et de conflit en Chine lorsque la dynastie des Han s'est effondrée dans la guerre civile. Pendant des siècles, les gens ont raconté de nombreuses histoires, certaines plus fantastiques que d'autres, sur les actes et les exploits de cette fascinante distribution de personnages. J'ai en particulier une admiration pour ...;;;;;;;;;;x;x
VIETmisc.8244.a;Warlords who sought to create order from chaos.;Les chefs de guerre qui ont cherché à créer de l'ordre à partir du chaos.;;;;;;;;;;;;x
VIETmisc.8244.b;Generals who bravely fought on the battlefield.;Les généraux qui ont bravement combattu sur le champ de bataille.;;;;;;;;;;;;x
VIETmisc.8244.c;Strategists who determined the fates of many.;Les stratèges qui ont déterminé le destin de beaucoup.;;;;;;;;;;;;x
VIETmisc.8244.d;Noblewomen who were influential in their own ways.;Les nobles femmes qui ont eu une influence à leur manière.;;;;;;;;;;;;x
VIETmisc.8245.desc;"The Empire, once united, must divide. Once divided, must unite." Thus had it always been with Chinese history. In that era of disunity, the Three Kingdoms, plenty of powerful, ambitious leaders sought to reunite China, some virtuous, some unscrupulous. There is one in particular I find very inspiring:;«L'Empire, une fois uni, doit se diviser. Une fois divisé, il faut l'unir.» C'était ainsi depuis toujours avec l'histoire chinoise. En cette ère de désunion, les Trois Royaumes, de nombreux dirigeants puissants et ambitieux ont cherché à réunir la Chine, des hommes vertueux et des hommes sans scrupules. Il y en a un en particulier que je trouve très inspirant :;;;;;;;;;;x;x
VIETmisc.8245.a;Cao Cao - cunning and cultured;Cao Cao - rusé et cultivé;;;;;;;;;;;;x
VIETmisc.8245.b;Liu Bei - just and benevolent;Liu Bei - juste et bienveillant;;;;;;;;;;;;x
VIETmisc.8245.c;Sun Quan - hardworking and proud;Sun Quan - travailleur et fier;;;;;;;;;;;;x
VIETmisc.8245.d;Dong Zhuo - tyrannical and merciless;Dong Zhuo - tyrannique et sans merci;;;;;;;;;;;;x
VIETmisc.8246.desc;Many are the names of the generals from the Three Kingdoms period. Whether with blade or spear or halberd or bow, whether on foot or on horseback, it was these men's daring and courage that determined the course of battles - and the course of history. My favorite general happens to be:;Nombreux sont les noms des généraux de la période des trois royaumes. Que ce soit avec une lame, une lance, une hallebarde ou un arc, à pied ou à cheval, c'est l'audace et le courage de ces hommes qui ont déterminé le cours des combats - et le cours de l'histoire. Mon général préféré se trouve être :;;;;;;;;;;x;x
VIETmisc.8246.a;Righteous Guan Yu, who became a God of War;Le juste Guan Yu, qui est devenu un Dieu de la Guerre;;;;;;;;;;;;x
VIETmisc.8246.b;Fiery Zhang Fei, deathly loyal to Liu Bei's cause;Le fier Zhang Fei, fidèle à la cause de Liu Bei;;;;;;;;;;;;x
VIETmisc.8246.c;One-eyed Xiahou Dun, humble soldier of Cao Cao;Le borgne Xiahou Dun, humble soldat de Cao Cao;;;;;;;;;;;;x
VIETmisc.8246.d;Ruthless Lu Bu, the treacherous but unmatched Flying General;L'impitoyable Lu Bu, général volant perfide mais incomparable;;;;;;;;;;;;x
VIETmisc.8247.desc;The strategists, through their manipulations and complex mind games, are the ones who truly hold the power to shape the course of history. Whether it is choosing battle tactics or contemplating administrative policies, they left their mark on the turbulent times of the Three Kingdoms. My favorite is:;Les stratèges, à travers leurs manipulations et leurs jeux complexes d'esprit, sont vraiment ceux qui détenaient le pouvoir de façonner le cours de l'histoire. Qu'il s'agisse de choisir des tactiques de combat ou d'envisager des politiques administratives, ils ont laissé leur marque dans les temps troublés des Trois Royaumes. Mon favori est :;;;;;;;;;;x;x
VIETmisc.8247.a;Zhuge Liang, the peerless sleeping dragon;Zhuge Liang, le dragon endormi sans pareil;;;;;;;;;;;;x
VIETmisc.8247.b;Sima Yi, the calculating politician;Sima Yi, l'homme politique calculateur;;;;;;;;;;;;x
VIETmisc.8247.c;Zhou Yu, the cultured youth;Zhou Yu, la jeunesse cultivée;;;;;;;;;;;;x
VIETmisc.8247.d;Chen Gong, the doomed gentleman;Chen Gong, le gentleman condamné;;;;;;;;;;;;x
VIETmisc.8248.desc;Though it was usually men who fought each other in the arenas of battle and politics during the age of the Three Kingdoms, many women also fought in their own ways as well. Even heaven must know of their stories of hardship, dedication, and bravery, even if many people do not. There are quite a number, but the one I respect the most is:;Bien que ce soient généralement des hommes qui se sont battus dans les champs de bataille et en politique à l'époque des Trois Royaumes, beaucoup de femmes se sont aussi battues à leur manière. Même le paradis doit connaître leurs histoires de difficultés, de dévouement et de courage, même si beaucoup de gens ne le savent pas. Il y en a beaucoup, mais celle que je respecte le plus est :;;;;;;;;;;x;x
VIETmisc.8248.a;Diaochan, who sacrificed herself for a nation;Diaochan, qui s'est sacrifiée pour une nation;;;;;;;;;;;;x
VIETmisc.8248.b;Sun Shangxiang, courageous and skilled in the martial arts;Sun Shangxiang, courageuse et habile dans les arts martiaux;;;;;;;;;;;;x
VIETmisc.8248.c;Qiao sisters, the two charming and talented beauties;Sœurs Qiao, les deux beautés charmantes et talentueuses;;;;;;;;;;;;x
VIETmisc.8248.d;Huang Yueying, who had an unsurpassed mind;Huang Yueying, qui avait un esprit inégalé;;;;;;;;;;;;x
VIETmisc.8249.desc;The Prophet (Peace Be Upon Him) is reported to have said, ‘Verily you shall conquer Constantinople. What a wonderful leader will her leader be, and what a wonderful army will that army be!' Today, this jeweled city, the queen of all cities, still remains in infidel hands. Perhaps one day, a valiant and noble king shall conquer this city in the name of true religion.;Le prophète (que la Paix soit avec lui) aurait dit: «En vérité, vous allez conquérir Constantinople. Quel chef merveilleux sera son chef et quelle armée sera cette armée ! »Aujourd'hui, cette ville ornée de joyaux, reine de toutes les villes, reste toujours aux mains des infidèles. Peut-être qu'un jour, un roi vaillant et noble vaincra cette ville au nom de la vraie religion.;;;;;;;;;;x;x
VIETmisc.8249.a;Perhaps it shall be so.;Peut-être qu'il en sera ainsi.;;;;;;;;;;;;x
VIETmisc.8249.b;Constantinople's walls are too mighty. Is it even possible?;Les murs de Constantinople sont trop puissants. Est-ce même possible ?;;;;;;;;;;;;x
VIETmisc.8249.c;There're more important things out there than a distant dream.;Il y a des choses plus importantes là-bas qu'un rêve lointain.;;;;;;;;;;;;x
VIETmisc.8249.d;If I had the opportunity and resources, I could conquer the city!;Si j'avais l'occasion et les ressources, je pourrais conquérir la ville !;;;;;;;;;;;;x
VIETmisc.8250.desc;Some of Italian merchants based in Constantinople have recently gotten into a number of conflicts with local Roman administrators and noblemen. They argue they need your support to ensure a steady flow of trade in your demesne, while the men under your command argue the Italians cannot be trusted. It is up to you to intervene in their disputes, lest it grows out of hand.;Certains marchands italiens basés à Constantinople ont récemment eu plusieurs conflits avec des administrateurs et des nobles romains. Ils soutiennent qu'ils ont besoin de votre soutien pour assurer un flux régulier des échanges commerciaux dans votre pays, tandis que les hommes sous votre commandement affirment qu'on ne peut faire confiance aux Italiens. C'est à vous d'intervenir dans leurs différends, de peur que cela ne dégénère.;;;;;;;;;;x;x
VIETmisc.8250.a;Support the Italians. We need their business.;Soutenez les Italiens. Nous avons besoin de leurs affaires.;;;;;;;;;;;;x
VIETmisc.8250.b;Support the local notables. We must be cautious with outsiders.;Soutenez les notables locaux. Nous devons être prudents avec les étrangers.;;;;;;;;;;;;x
VIETmisc.8250.c;Support neither - let them sort this out on their own!;Ne soutenez ni l'un ni l'autre - laissez-les régler eux-mêmes !;;;;;;;;;;;;x
VIETmisc.8250.d;Invite an Italian merchant to my court as a representative.;Inviter un marchand italien à ma cour en tant que représentant.;;;;;;;;;;;;x
VIET_italian_merchant_negotiation_cool;That way, we'll have clearer lines of communication. If I and my officials know what the Italians want, it'll be easier to negotiate with them or even manipulate them to our ends!;De cette façon, nous aurons des lignes de communication plus claires. Si mes fonctionnaires et moi-même savons ce que veulent les Italiens, il sera plus facile de négocier avec eux ou même de les manipuler à nos fins !;;;;;;;;;;x;x
