#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#text1.csv replacements
ALLOW_REVOKATION_ON;Revocation of titles Allowed\n;Annulation des titres autorisée;Entzug gewährter Titel gestattet;;Revocación de títulos permitida;;;;;;;;;x
EVTDESC_SOA_3078;During a nice outing by the river, everyone suddenly noticed my talented nanny [From.GetFirstName] standing on top of the old tower. Smiling and looking straight at me, she cried out 'I love you [FromFrom.GetFirstName]!' and calmly took a step forward into empty air, falling to the ground with black clothes flapping like the wings of a [Root.Religion.GetRandomEvilGodName]. Everyone else stared in utter shock and disbelief, but I could only laugh and clap my hands in approval. [Root.Religion.GetRandomEvilGodNameCap] be praised!;Pendant une belle promenade près du fleuve, nous avons soudainement remarqué notre talentueuse nourrice [From.GetFirstName] debout au sommet de la vieille tour. Elle me regardait en souriant. Elle s'est écriée ''Je t'aime [FromFrom.GetFirstName]'', puis elle a calmement fait un pas en avant et a sauté dans le vide. Dans sa chute, ses vêtements noirs qui volaient au vent la faisaient ressembler à un gigantesque démon ailé. Tous étaient figés, sous le choc, incrédules mais je ne pouvais me retenir d'applaudir en riant aux éclats. Gloire à [Root.Religion.GetRandomEvilGodNameCap] !;Während eines Flussfests bemerkten die Anwesenden plötzlich das Kindermädchen [From.GetFirstName], das oben auf dem alten Turm stand. Sie lächelte und schaute mir geradewegs zu mir, als sie sagte: 'Ich liebe dich, [FromFrom.GetFirstName]!', um dann einen Schritt nach vorne, in den Abgrund zu tun. Sie stürzte in einem Wirbel schwarzer Gewänder gleich einem leibhaftigen Dämon in die Tiefe. Während es den schockierten Umstehenden die Sprache verschlagen zu haben schien, konnte ich nicht anders, als voller Freude in die Hände zu klatschen und auszurufen: 'Gepriesen sei [Root.Religion.GetRandomEvilGodNameCap]!';;Durante una agradable excursión familiar junto al río, de pronto todos observaron que mi talentosa niñera [From.GetFirstName] se encontraba en lo alto de la vieja torre. Sonriendo y mirándome directamente a los ojos, gritó: “Te quiero, [FromFrom.GetFirstName]!” y con calma dio un paso adelante en el aire, precipitándose al suelo con su vestimenta negra agitándose como las alas de un [Root.Religion.GetRandomEvilGodName]io. Todos miraban con estupefacción e incredulidad, pero yo sólo pude reír y aplaudir con aprobación. ¡Alabado sea [Root.Religion.GetRandomEvilGodNameCap]!;;;;;;;;;x
EVTOPTA_SOA_3078;A worthy sacrifice!;Un digne sacrifice !;Ein würdiges Opfer!;;¡Un digno sacrificio!;;;;;;;;;x
EVTNAME_SoA_5353;[FromFrom.GetFirstName], the Hero of [From.GetName];[FromFrom.GetFirstName], la pucelle de [From.GetName];[FromFrom.GetFirstName], die Jungfrau von [From.GetName];;[FromFrom.GetFirstName], la Doncella de [From.GetName];;;;;;;;;x
EVTDESC_SoA_5353;My [Root.GetLordLady], there are strange tidings from the province of [From.GetName]. As our country suffers under the strain of war, a young woman has come forward and declared that the [From.Religion.GetRandomGodName] has spoken to her and instructed her to deliver us from the enemies of our land. She wears armour, wields a sword and rides with the soldiers. Her name is [FromFrom.GetFullName] and she is said to be approaching your court at this very moment to offer her services to you as a leader in the war.\n\nSurely, it's an absurd notion that a young peasant woman should take the role of marshal or general of the [Root.GetTitle]'s armies?;Mon/ma [Root.GetLordLady], des évènements étranges se déroulent dans la province de [From.GetName]. Alors que le pays souffre face à la guerre en cours, une jeune femme s'est présentée, déclarant que le Seigneur lui avait parlé et lui avait demandé de nous délivrer de l'ennemi qui sévit sur nous terres. Elle porte une armure, une épée, et chevauche en compagnie des soldats. Elle s'appelle [FromFrom.GetFullName] et on dit qu'elle se dirige chez vous en ce moment même pour vous offrir ses services, à vous qui dirigez ce conflit.\n\nL'idée qu'une jeune paysanne endosse la responsabilité de diriger les armées du/de la [Root.GetTitle] est absurde, n'est-ce pas ?;Mein [Root.GetLordLady], es gibt seltsame Neuigkeiten von [From.GetName]. Ein Krieg tobt und das Land leidet, doch diese junge Dame, die sich in Rüstung kleidet, ein Schwert trägt und mit den Soldaten gemeinsam in die Schlacht zieht, erklärt, dass der Herr selbst ihr den Auftrag gab, unser Land vor den Feinden zu retten. Ihr Name ist [FromFrom.GetFullName] und man sagt, dass sie just im Moment unterwegs zu Eurem Hof ist, um in Eure Dienste zu treten.\n\nGewiss ist es nichts als eine Posse. Die Armeen eines [Root.GetTitle] unter der Führung eines Bauersmädchens? Undenkbar!;;Mi [Root.GetLordLady], han llegado extrañas noticias de la provincia de [From.GetName]. Mientras nuestra patria sufre la carga de la guerra, una joven se ha presentado y ha declarado que el Señor le ha hablado y ordenado que nos libre de los enemigos de nuestras tierras. Lleva armadura, empuña una espada y monta junto a los soldados. Se llama [FromFrom.GetFullName] y se dice que se dirige a vuestra corte en este momento para ofreceros sus servicios como líder de la guerra.\n\nEs absurdo que una joven campesina desempeñe el papel de mariscal o general de los ejércitos de [Root.GetTitle], ¿verdad?;;;;;;;;;x
EVTOPTA_SoA_5353;Let us receive her and see what she can do for us.;Parlons-lui, voyons ce qu'elle peut faire.;Lasst uns sehen, was sie für uns tun kann.;;Recibámosla y veamos en qué puede ayudarnos.;;;;;;;;;x
jeanne_arrives_message;[FromFrom.GetFirstName] the Hero of [From.GetName] has arrived at the court of [Root.GetTitledName].;[FromFrom.GetFirstName] la Pucelle de [From.GetName] arrive à la cour de [Root.GetTitledName].;[FromFrom.GetFirstName], die Jungfrau von [From.GetName] ist am Hof von [Root.GetTitledName] angekommen.;;[FromFrom.GetFirstName], la Doncella de [From.GetName], ha llegado a la corte de [Root.GetTitledName].;;;;;;;;;x
EVTNAME_SoA_5355;[From.GetFirstName] – the nobles react;[From.GetFirstName] – les nobles réagissent;[From.GetFirstName] – die Reaktion des Adels;;[From.GetFirstName]. Los nobles reaccionan.;;;;;;;;;x
EVTDESC_SoA_5355;My [Root.GetTitle], the lords of the Realm complain. They think it most unfitting and strange that a young maid of low birth is allowed such a prominent position when there are noble lords aplenty who are much more well prepared and competent to lead your armies. Some of them are asking if you are doing this deliberately to insult them.\n\nThere is also the issue of her claiming to be personally sent by [Root.Religion.GetRandomGodName] - it sounds rather heretical.;Mon/ma [Root.GetTitle], les seigneurs du royaume sont en colère. Ils pensent qu'il est fort inapproprié et étrange qu'une jeune femme de basse extraction soit autorisée à occuper une place si prestigieuse alors qu'il existe de nombreux nobles bien plus compétents et bien mieux préparés pour diriger vos armées. Certains se demandent si vous avez pris cette décision délibérément pour les insulter.\n\nEt puis il y a ces propos qu'elle tient, quand elle dit que Dieu l'envoie... Si vous voulez mon avis, on frôle l'hérésie.;Mein [Root.GetTitle], die Fürsten des Reiches sind ungehalten. Sie halten es für seltsam und unpassend, dass ein Mädchen von niedriger Geburt Eure Armeen anführt, wo doch so viele Kandidaten höheren Standes bereitstünden. Einige denken, es sei ein absichtlicher Affront Eurerseits.\n\nAußerdem werden angesichts ihrer Behauptung, im Auftrag Gottes zu handeln, Vorwürfe der Ketzerei laut.;;Mi [Root.GetTitle], los señores del Reino se quejan. Consideran impropio y extraño que una joven doncella de baja cuna pueda ostentar tan relevante posición cuando hay montones de nobles mucho más preparados y competentes para dirigir vuestros ejércitos. Algunos preguntan si lo hacéis deliberadamente para insultarlos.n\nTambién está la cuestión de que afirma que Dios la ha enviado personalmente. Resulta bastante herético.;;;;;;;;;x
EVTOPTA_SoA_5355;Let them moan. I am the [Root.GetTitle].;Qu'ils se plaignent en silence. Qui est [Root.GetTitle] ici ?;Lasst sie jammern. Der [Root.GetTitle] bin ich.;;Dejadlos que se quejen. Yo soy el [Root.GetTitle].;;;;;;;;;x
EVTOPTB_SoA_5355;I agree, but this woman is popular among the common folk.;Je l'admets, mais le peuple apprécie cette femme.;Das ist zwar wahr, aber diese Frau ist beim einfachen Volk sehr beliebt.;;Estoy de acuerdo, pero esta mujer es popular entre el pueblo.;;;;;;;;;x
EVTOPTC_SoA_5355;Very well, we shall put her on trial for heresy.;Très bien, nous la jugerons pour hérésie.;Nun gut, wir werden sie der Ketzerei anklagen.;;Muy bien, juzguémosla por herejía.;;;;;;;;;x
EVTNAME_SoA_5357;[From.GetFirstName] and the [Root.GetTitle];[From.GetFirstName] et le/la [Root.GetTitle];[From.GetFirstName] und der [Root.GetTitle];;[From.GetFirstName] y [Root.GetTitle];;;;;;;;;x
EVTDESC_SoA_5357;One evening at court, [From.GetFirstName] approaches you and asks to speak with you in private. You agree and the both of you sit down for a talk in your chambers. [From.GetFirstName] speaks to you of her visions of [Root.Religion.GetRandomGodName] and her quest to save the country from the enemy. She speaks with passion, her simple honesty and forceful zeal both coming across as she looks you in the eyes. She declares her fierce loyalty and love for you as the chosen [Root.GetTitle]. You are quite impressed by her passion, intelligence and sincerity.;Un soir à la cour, [From.GetFirstName] demande à vous parler en privé. Vous acceptez, et vous voilà tous les deux à discuter dans vos appartements. [From.GetFirstName] vous parle de ses visions du Christ et de sa quête pour sauver le pays de la menace ennemie. Elle parle avec passion, son honnêteté brute et son zèle audacieux transparaissent lorsqu'elle vous regarde droit dans les yeux. Elle vous déclare sa loyauté et son amour sans failles à vous, que Dieu a choisi. Sa passion, son intelligence et sa sincérité font forte impression sur vous.;Eines Abends bei Hof bittet [From.GetFirstName] Euch um eine private Unterredung. Ihr stimmt zu und in vertraulicher Umgebung erzählt Euch [From.GetFirstName] von Christusvisionen und ihrem heiligen Auftrag. Sie spricht voller Leidenschaft und ihre schlichte, fromme Ehrlichkeit rührt Euer Herz. Sie erklärt ihre unbedingte Loyalität gegenüber Euch, dem rechtmäßigen [Root.GetTitle]. Ihre Leidenschaftlichkeit, Intelligenz und Ernsthaftigkeit beeindrucken Euch zutiefst.;;Una tarde en la corte, [From.GetFirstName] se os acerca y pide hablaros en privado. Aceptáis y os sentáis a hablar en vuestros aposentos. [From.GetFirstName] os habla de sus visiones de Cristo y su misión de librar al país del enemigo. Habla con pasión. Comprendéis su sencilla honestidad y su enérgico entusiasmo en cuanto os mira a los ojos. Declara su lealtad fiera y amor hacia vos como el [Root.GetTitle] elegido. Quedáis impresionado ante su pasión, inteligencia y sinceridad.;;;;;;;;;x
EVTOPTA_SoA_5357;Thank you for coming to see me, [From.GetFirstName].;Merci d'être venue me voir, [From.GetFirstName].;Danke, dass Ihr zu mir gekommen seid, [From.GetFirstName].;;Gracias por venir a verme, [From.GetFirstName].;;;;;;;;;x
EVTOPTB_SoA_5357;My dearest [From.GetFirstName], you are truly sent by [Root.Religion.GetRandomGodName]!;Ma très chère [From.GetFirstName], c'est bien [Root.Religion.GetRandomGodName] qui vous envoie !;Meine verehrteste [From.GetFirstName], Ihr seid wirklich von [Root.Religion.GetRandomGodName] gesandt!;;¡Mi queridísimo [From.GetFirstName], realmente os ha enviado [Root.Religion.GetRandomGodName]!;;;;;;;;;x
EVTOPTC_SoA_5357;We both know you are a powerhungry impostor, [From.GetFirstName].;Chère [From.GetFirstName], nous savons que vous n'êtes qu'une usurpatrice avide de pouvoir.;Wir wissen beide, dass Ihr nur ein machthungriger Hochstapler seid, [From.GetFirstName].;;Ambos sabemos que sois una impostora con ansias de poder, [From.GetFirstName].;;;;;;;;;x
EVTOPTD_SoA_5357;Love, you say? Come sit over here...;Vous m'aimez, dites-vous ? Approchez un peu...;Liebe, sagtet Ihr? Kommt, setzt Euch zu mir...;;¿Amor, habéis dicho? Venid, sentaos aquí...;;;;;;;;;x
EVTNAME_SoA_5358;The Mission;La Mission;Der Auftrag;;La Misión;;;;;;;;;x
EVTDESC_SoA_5358;[FromFrom.GetFirstName] looks at you seriously. 'I hope you have been listening, my [Root.GetLordLady]. The country is hurting and you, its rightful sovereign, is the one to mend it. I shall aid you, this is the mission I have been given by [From.Religion.GetRandomGodName].';[FromFrom.GetFirstName] vous regarde avec une expression sérieuse. ''J'espère que vous m'avez écoutée attentivement, mon/ma [Root.GetLordLady]. Le pays souffre et vous, qui le dirigez, vous devez le guérir. Je vous aiderai, c'est la mission que notre Seigneur m'a donnée.'';[FromFrom.GetFirstName] schaut Euch ernst in die Augen. 'Ich hoffe, Ihr habt zugehört, mein [Root.GetLordLady]. Das Land leidet und nur Ihr, sein rechtmäßiger Souverän, könnt es heilen. Ich werde Euch bei dieser Mission helfen, ganz wie es mir unser Herr, Jesus Christus, aufgetragen hat.';;[FromFrom.GetFirstName] os mira con seriedad. “Espero que hayáis estado escuchando, mi [Root.GetLordLady]. El país sufre y vos, su legítimo soberano, sois el indicado para solucionarlo. Os ayudaré, es la misión que nuestro Señor, Cristo, me ha encomendado.”;;;;;;;;;x
EVTOPTA_SoA_5358;Very good.;Très bien;Sehr schön.;;Muy bien.;;;;;;;;;x
EVTNAME_SoA_5359;Zeal;Du zèle;Eifer;;Entusiasmo;;;;;;;;;x
EVTDESC_SoA_5359;[FromFrom.GetFirstName] looks at you with tears of joyous fervour in her eyes. 'My [Root.GetLordLady], you are the highest and also the wisest [Root.GetManWoman] in the realm. [Root.Religion.GetRandomGodName] shall guide you through me, and the people shall be saved. With the sword of righteousness in my hand, guided by your wisdom and the will of [Root.Religion.GetRandomGodName], we will be victorious!;[FromFrom.GetFirstName] vous regarde, les yeux brillants de joie et de ferveur. ''Mon/ma [Root.GetLordLady], la personne la plus sage et la plus puissante sur terre. Dieu vous guidera à travers moi et le peuple sera sauvé. Avec l'épée de la justice en main, guidée par votre sagesse et par la volonté de Dieu, je triompherai !;Mit Freudentränen in den Augen schaut [FromFrom.GetFirstName] Euch an. 'Mein [Root.GetLordLady], Ihr seid der wichtigste und weiseste [Root.GetManWoman] im Reich. Gott wird mit Euch sein, wenn Ihr mir folgt, und Euer Volk wird gerettet werden. Mit dem Schwert der Gerechtigkeit in meiner Hand, geführt von Eurer Weisheit und mit der Hilfe Gottes werden wir siegreich sein!;;[FromFrom.GetFirstName] os mira con lágrimas de fervor feliz en sus ojos. “Mi [Root.GetLordLady], sois el [Root.GetManWoman] más grande y sabio del reino. Dios os guiará a través de mí y la gente se salvará. Con la espada de la rectitud en mi mano, guiado por vuestra sabiduría y la voluntad de Dios, ¡saldremos victoriosos!;;;;;;;;;x
EVTOPTA_SoA_5359;So it shall be!;Qu'il en soit ainsi !;So sei es!;;¡Así sea!;;;;;;;;;x
EVTNAME_SoA_5360;Mistrust;Méfiance;Misstrauen;;Desconfianza;;;;;;;;;x
EVTDESC_SoA_5360;[FromFrom.GetFirstName] stands up, a shocked and bewildered expression or her face. 'My [Root.GetLordLady], your accusation wounds me most deeply! I have heard evil things said of me, but did not think I would hear it from you. Still, my loyalty to you comes from [Root.Religion.GetRandomGodName] and it's stronger than [Root.Religion.GetRandomEvilGodName] who has corrupted your faith. I shall always remain your servant, my [Root.GetLordLady]'.\n\nWith these last words, [FromFrom.GetFirstName] kneels before you, tears of sorrow streaming down her face.;[FromFrom.GetFirstName] se lève brusquement, choquée et scandalisée. ''Mon/ma [Root.GetLordLady], vos accusations me blessent profondément ! J'ai entendu les mauvaises choses que l'on raconte sur moi mais je ne pensais pas les entendre de votre bouche. Sachez que ma loyauté envers vous vient du Christ et qu'Il est plus fort que le démon qui a corrompu votre foi. Je demeure à jamais votre servante, mon/ma [Root.GetLordLady]''\n\nAprès avoir prononcé ces mots, [FromFrom.GetFirstName] s'agenouille devant vous, les yeux noyés de larmes.;[FromFrom.GetFirstName] erhebt sich mit einem Ausdruck verwirrten Entsetzens. 'Mein [Root.GetLordLady], Eure Anschuldigungen verletzen mich zutiefst! Schlimme Dinge habe ich über meine Person gehört, doch niemals hätte ich angenommen, solches auch von Euch zu hören. Dennoch, meine Loyalität für Euch gründet sich in Christus, und dieser ist stärker als der Teufel, der Euch korrumpiert hat. Ich werde weiterhin Euer Diener sein, mein [Root.GetLordLady]'.\n\nMit diesen Worten fällt [FromFrom.GetFirstName] vor Euch auf die Knie, das Gesicht überströmt von kummervollen Tränen.;;[FromFrom.GetFirstName] se levanta con expresión de estupefacción y desconcierto. “¡Mi [Root.GetLordLady], vuestra acusación me hiere profundamente! He oído cosas horribles de mí, pero no pensé que las escucharía de vos. Sin embargo, mi lealtad hacia vos proviene de Cristo y Él es más fuerte que el Demonio que ha corrompido vuestra fe. Siempre seré vuestra servidora, mi [Root.GetLordLady]”.\n\nCon estas últimas palabras, [FromFrom.GetFirstName] se arrodilla ante vos, con lágrimas de dolor recorriendo su cara.;;;;;;;;;x
